Species,ForestDependency
Apalis sharpii,High
Aquila rapax,Low
Balearica pavonina,Does not normally occur in forest
Ceratogymna atrata,High
Ceratogymna elata,High
Chelictinia riocourii,Does not normally occur in forest
Circaetus beaudouini,Low
Criniger olivaceus,Medium
Hylopsar cupreocauda,Medium
Illadopsis rufescens,High
Malaconotus lagdeni,Medium
Merops mentalis,High
Necrosyrtes monachus,Medium
Parmoptila rubrifrons,Medium
Phyllanthus atripennis,Medium
Scotopelia ussheri,High
Stephanoaetus coronatus,High
Terathopius ecaudatus,Low
