"species","generation_length","adult_survival","Gs"
"Apalis sharpii",3.02,0.596873657,1.18634532159275
"Aquila rapax",14.25,0.88426029,1.00866920840628
"Balearica pavonina",12.39,0.894334233,1.00905411737618
"Ceratogymna atrata",8.24,0.855084298,1.01918105748646
"Ceratogymna elata",9.8,0.830377976,1.01914777585457
"Chelictinia riocourii",4.16,0.675179059,1.09901863585403
"Circaetus beaudouini",10.83,0.874832798,1.01242395852421
"Criniger olivaceus",3.81,0.682764779,1.10534638806272
"Hylopsar cupreocauda",4.04,0.659342169,1.10859915052541
"Illadopsis rufescens",3.97,0.698199538,1.09471195189873
"Malaconotus lagdeni",4.99,0.727001425,1.06597849775348
"Merops mentalis",3.11,0.8,1.07438707699711
"Necrosyrtes monachus",13,0.883207275,1.00959926997701
"Parmoptila rubrifrons",2.45,0.615562879,1.21902119368465
"Phyllanthus atripennis",4.91,0.759564955,1.05760833240584
"Scotopelia ussheri",8.03,0.800102977,1.02816196398938
"Stephanoaetus coronatus",12.59,0.893344602,1.00899837599849
"Terathopius ecaudatus",15.55,0.885315298,1.00786429476755
